geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US51,Virginia,2013-2017,36267.945,102.0888,29810.014,1739.5554,40693.363,410.26865,40765.457,413.2778,25284.578,154.13576,23481.512,228.42822,37526.121,114.37293,33836.844,3016.4155,41702.34,104.71672,27163.127,324.51175,20207.801,547.06738,20802.332,371.72153,21210.162,500.0459,40300.117,112.13702
04000US53,Washington,2005-2009,33500.098,85.001846,20390.066,619.5434,32192.795,314.37048,32870.691,331.45819,24018.006,320.49716,16488.168,151.17976,35316.703,95.454048,22229.221,782.11157,37077.941,101.78064,22460.545,467.92908,15874.94,355.85629,16413.775,284.70682,16975.967,445.89154,35885.82,100.03983
04000US53,Washington,2006-2010,33422.82,91.788231,20228.045,562.32611,32115.963,329.86716,32958.66,351.2832,23937.219,333.2298,16488.773,162.54451,35417.914,104.37418,21312.094,691.70422,37361.918,104.02383,22370.465,455.03314,15549.959,337.10651,16308.864,250.20886,17065.758,367.29227,35997.117,102.13406
04000US53,Washington,2007-2011,33216.09,81.942665,20549.625,597.29449,32007.258,302.52133,32799.684,319.86685,23361.697,333.69397,16332.688,160.69498,35282.195,94.049263,21947.039,805.57892,37294.598,93.411545,22144.059,396.01541,14990.421,423.56479,16013.201,285.42096,16949.096,378.93585,35833.762,92.140526
04000US53,Washington,2008-2012,32734.623,82.03788,20176.367,536.56653,32310.98,305.71451,33267.816,325.91177,23199.273,348.97577,16178.643,153.60419,34821.613,94.386711,20509.707,629.04907,36770.98,99.827736,22095.736,397.59106,15017.631,404.22363,16097.785,265.26013,17026.156,345.63852,35241.285,98.579712
04000US53,Washington,2009-2013,32347.576,83.827667,20418.002,603.41266,32477.203,312.20166,33433.422,328.52911,23022.592,367.83304,15922.306,157.14854,34480.215,96.884682,20753.488,954.74298,36382.031,105.17454,22012.184,402.02026,14899.81,427.74533,16114.686,262.69061,17108.012,318.04938,34760.688,100.4884
04000US53,Washington,2010-2014,32339.105,83.811142,19546.764,546.75037,32443.748,313.47107,33403.129,330.92542,23274.25,403.2114,16000.763,152.08549,34512.492,97.091171,20778.596,906.76953,36445.754,98.727875,22116.221,381.90314,15151.848,410.60648,16496.643,266.48508,17534.418,346.66205,34739.328,99.501579
04000US53,Washington,2011-2015,32848.004,84.462112,19568.539,597.45618,33920.367,306.29349,35002.586,324.72104,23760.85,381.54034,16329.346,134.09285,35092.102,97.650711,20796.697,827.93982,37017.59,104.56471,22755.531,383.93774,15618.491,429.24969,16862.24,285.39246,17774.031,378.55084,35223.945,102.76535
04000US53,Washington,2012-2016,33702.328,94.416916,19504.834,545.69446,35606.445,374.05426,36785.281,398.41492,24487.697,359.53699,16915.807,131.40944,36008.262,108.89343,21103.33,816.88049,37909.727,116.0966,23703.146,421.52051,16381.435,426.53915,17680.891,278.29465,18633.746,362.7865,36088.746,112.41748
04000US53,Washington,2013-2017,34869.129,100.20968,19927.818,487.14355,37343.73,294.60629,38528.789,310.52026,25671.479,366.30444,17817.236,121.8725,37261.297,115.53984,22455.025,878.50281,39192.316,124.09789,24897.949,437.74677,16707.189,373.6412,18229.49,237.2215,19359.482,299.35046,37363.395,123.12963
04000US54,West Virginia,2005-2009,23869.285,124.02707,21168.084,2962.4666,40652.242,3261.948,42035.52,3413.3728,16280.39,460.5726,20365.932,1657.6202,23907.557,126.70095,16635.58,5935.957,24213.949,128.93816,18936.611,2647.5979,17579.793,2836.7424,13437.184,892.70013,12765.453,933.26849,24200.287,128.25111
04000US54,West Virginia,2006-2010,23867.533,114.17947,21256.586,2788.7817,38155.938,2909.8086,39149.625,3016.7129,17299.5,483.76346,20542.84,1577.1577,23905.816,116.91885,16587.814,6063.2236,24213.361,118.88206,18953.781,2422.1721,17816.582,2912.0886,13083.854,847.9425,12382.892,878.44177,24195.967,116.52254
04000US54,West Virginia,2007-2011,23984.613,115.97577,19948.225,2980.9834,39483.211,3373.8433,40173.051,3472.0842,17427.117,480.52649,17643.285,959.49213,24061.107,117.95493,21618.469,10091.129,24397.938,117.16429,18330.197,2337.7998,17103.811,3018.4683,12253.551,624.51563,11616.333,592.82721,24347.604,116.76655
04000US54,West Virginia,2008-2012,24002.238,135.33649,17806.211,2731.1897,36740.844,2429.5737,37438.254,2495.6084,17143.711,453.4729,17010.848,807.815,24086.459,137.32695,20068.713,7711.8477,24465.762,137.78458,17804.27,2678.5991,15321.163,2704.3125,11936.35,571.87207,11546.853,562.18475,24414.445,135.34254
04000US54,West Virginia,2009-2013,24165.232,121.00626,16064.294,2908.814,34730.043,2713.4922,35936.297,2829.5273,17891.826,524.77374,17560.482,805.23859,24249.258,122.99275,11535.933,4837.6445,24632.223,121.16927,18081.936,2317.5002,15071.334,2549.9941,12450.829,553.36407,12105.562,535.25238,24582.605,122.98087
04000US54,West Virginia,2010-2014,24059.451,140.25455,15375.693,2372.3738,30892.07,2047.3771,31907.693,2127.4099,18053.631,511.94571,17600.703,822.88849,24144.379,142.51964,10195.386,3906.8196,24558.305,144.63559,17708.33,2664.3452,13988.494,2394.7351,12399.407,642.66406,12177.707,653.93298,24507.752,143.40555
04000US54,West Virginia,2011-2015,24251.861,139.9417,16711.775,2998.405,34556.063,2432.0728,35508.129,2505.2202,17696.682,535.32617,17438.213,795.17841,24346.67,142.34555,14014.315,5905.0635,24745.707,142.67352,18119.551,2580.428,15322.463,2703.1812,12749.52,577.04041,12424.89,561.06592,24683.629,144.21043
04000US54,West Virginia,2012-2016,24512.986,127.17197,17417.102,2504.8818,36813.598,2637.8525,37884.449,2719.7373,18161.141,504.87515,17536.537,752.82819,24613.605,129.49298,13694.451,5944.0103,24974.908,130.84268,18881.072,2314.6084,17006.549,2503.9329,13587.323,675.6601,13006.301,674.77216,24905.023,131.46593
04000US54,West Virginia,2013-2017,24773.975,117.0098,17987.357,3277.1448,34900.93,2242.2744,35642.602,2308.4141,18512.131,575.47699,17307.412,648.89539,24885.451,119.19758,15576.34,6093.7563,25294.574,114.31011,18558.262,2037.344,15267.079,2442.9221,12705.345,736.19775,12125.894,726.52179,25213.617,114.17278
04000US55,Wisconsin,2005-2009,30216.928,89.565903,18858.074,625.77039,25028.996,674.14032,25032.254,678.95026,15739.883,181.83081,15751.365,218.32596,30967.613,94.893105,24748.102,5500.5044,32522.902,91.997742,17085.871,796.06024,15709.687,464.21567,14351.53,352.93637,12547.086,544.43036,32045.559,92.835281
04000US55,Wisconsin,2006-2010,29927.969,79.299042,18574.42,619.90881,24820.756,660.08893,24864.453,666.20428,15815.227,201.50096,15366.578,238.36507,30776.793,85.06459,21375.555,4131.3125,32420.908,84.536995,16847.813,664.81659,15632.063,586.44482,13938.608,395.76337,12003.746,528.42297,31827.424,83.85083
04000US55,Wisconsin,2007-2011,29631.68,78.872612,17975.471,493.39716,24263.502,514.95563,24269.943,518.20972,15571.279,183.20351,15112.952,233.33571,30513.129,84.852219,23725.031,4568.314,32195.598,84.843468,16535.523,647.84521,15972.571,774.66302,13800.386,442.89835,11787.162,475.72873,31513.99,84.893982
04000US55,Wisconsin,2008-2012,29280.475,67.505035,18135.143,487.20667,24297.143,571.22791,24283.656,573.87598,15356.662,175.24806,14758.61,213.69135,30190.01,72.971931,25638.959,5998.6006,31891.508,74.366402,16256.288,548.50879,15301.685,695.24481,12948.285,371.96085,11173.256,397.85077,31145.678,74.053635
04000US55,Wisconsin,2009-2013,28959.523,79.414467,18306.092,496.9086,24780.484,589.79236,24782.088,592.96393,15044.4,148.25203,14354.082,179.27682,29901.795,85.325829,24617.471,5677.354,31600.213,84.090347,16076.888,621.37451,14017.178,530.31317,12514.611,310.64417,11405.588,380.0112,30840,85.283012
04000US55,Wisconsin,2010-2014,28895.09,71.516457,18134.174,489.85178,24748.928,547.0246,24735.441,547.61005,14946.268,182.88586,14334.45,158.54584,29858.564,76.967018,26170.967,7565.5508,31584.861,76.812424,16046.613,552.42023,13672.789,517.18909,12487.496,315.32642,11577.839,398.61664,30828.793,77.380455
