geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US11,District of Columbia,2012-2016,55.360188,.37974939,43.496933,9.7250051,77.72496,1.2399212,77.923859,1.2355801,24.841204,.38122234,42.767208,1.1876509,56.677364,.43747517,63.706566,18.621056,90.811798,.25038904,32.548515,.64586169,26.171181,1.7714294,41.047783,1.2525275,67.836082,1.1779397,87.699806,.09407258
04000US11,District of Columbia,2013-2017,56.592434,.38720044,51.781815,4.430501,79.497131,.96494657,79.707184,.96435368,25.518242,.44161215,46.125591,.98685509,57.700294,.44073725,62.551437,15.229358,91.114899,.24285746,33.922604,.66208571,28.074697,1.7667867,42.901836,1.2511437,69.204926,1.5428097,88.402649,.41155457
04000US12,Florida,2005-2009,25.583389,.063791424,17.017933,.78413606,45.151104,.37013248,45.716366,.37740847,15.740355,.15631759,20.719929,.13915165,26.711273,.084946223,19.943289,2.4160862,28.230223,.076842837,20.631605,.23289919,15.984477,.26227018,17.989662,.22869442,22.974962,.45784754,27.032623,.072846465
04000US12,Florida,2006-2010,25.909361,.06194368,16.063581,.71855581,45.416065,.38755149,46.046417,.39582673,16.190947,.13402615,21.231625,.11957458,27.049871,.082371391,17.353546,1.9471183,28.578701,.079382576,21.155626,.22294037,16.243824,.29179129,18.534939,.24348043,23.698071,.44828007,27.331539,.074549168
04000US12,Florida,2007-2011,25.996695,.066447541,16.187695,.87984735,45.229172,.43853357,45.854992,.44746661,16.306953,.14300789,20.919624,.14347927,27.268946,.090536997,17.085136,2.1665399,28.865206,.079107456,21.029551,.22748004,15.530869,.3197003,18.303179,.27624267,23.690615,.5051133,27.425592,.077585466
04000US12,Florida,2008-2012,26.1675,.068077311,16.263611,.83971024,45.115128,.36950126,45.794102,.37793067,16.324373,.13943751,21.023527,.14577483,27.489481,.093409464,15.57366,1.8573384,29.161346,.092952058,21.119911,.24087799,15.681866,.30294994,19.112957,.27132392,24.691359,.52786076,27.594641,.083047755
04000US12,Florida,2009-2013,26.400684,.068602905,16.946619,.95785058,45.90078,.41458109,46.572281,.42237616,16.639421,.13891685,21.072172,.13113713,27.803356,.093279444,15.044494,2.2194364,29.472204,.085832715,21.353983,.22976172,16.122244,.37726748,19.653111,.27394041,25.066462,.37562048,27.793327,.081222236
04000US12,Florida,2010-2014,26.762537,.06705498,16.040321,.7775985,45.445522,.36889887,46.060314,.37513819,16.802687,.14079872,21.315584,.13505094,28.236967,.0927108,17.60137,2.2767825,30.02998,.087427832,21.55286,.22300734,16.958094,.37194353,20.524681,.29197428,25.772976,.45953748,28.205935,.078093722
04000US12,Florida,2011-2015,27.344414,.068590514,17.703209,.89122707,46.4081,.46444869,46.937851,.47146404,17.316223,.1406526,21.839464,.13851814,28.871887,.09567558,18.391649,2.3766587,30.673563,.085619867,22.169956,.22007284,17.770796,.37319273,21.599504,.29879451,27.219284,.50167918,28.76746,.082243212
04000US12,Florida,2012-2016,27.883377,.066390641,19.299526,.80757141,47.451637,.35865036,47.970943,.3642551,17.696869,.15909658,22.380716,.14010479,29.443901,.094021142,22.000265,2.2695353,31.284744,.085829712,22.707754,.21238469,18.822557,.30962783,22.561035,.2531856,28.028521,.43997061,29.304901,.081814416
04000US12,Florida,2013-2017,28.451231,.068570644,19.23588,.83453125,48.392986,.42140052,48.944004,.42912719,18.092178,.13867258,22.918261,.14403945,30.081282,.098389216,22.117039,2.3722141,31.976868,.088097252,23.268791,.21326146,18.941011,.36367831,22.973009,.28116217,29.041178,.46861568,29.908716,.085335739
04000US13,Georgia,2005-2009,27.117201,.090890199,17.960669,1.1613009,49.483631,.53839552,50.070934,.54785866,18.794628,.13923466,13.313357,.28772348,28.017977,.098555841,13.849359,3.0989537,31.059084,.11540323,20.574978,.30902806,11.786201,.37699807,15.186581,.34153497,27.063297,.77123231,30.341089,.11345068
04000US13,Georgia,2006-2010,27.21306,.090328835,19.565933,1.4521834,50.756474,.51871258,51.342846,.5269447,19.406395,.1631493,13.687748,.2751005,28.164806,.098548025,11.294283,2.6337576,30.927839,.10879695,21.327417,.29061592,11.56541,.37147182,15.749887,.3545256,29.135872,.82043874,30.111752,.11071847
04000US13,Georgia,2007-2011,27.502399,.094120696,19.112318,1.1567597,50.334133,.55139476,50.873215,.56051034,19.954184,.15039556,14.095688,.27692142,28.480556,.10292572,12.903225,2.4138858,31.1901,.11584078,21.783764,.30006707,10.932531,.34556139,15.810887,.3504166,29.694662,.82637274,30.334923,.11702557
04000US13,Georgia,2008-2012,27.764017,.08849331,20.063417,1.5935891,50.483574,.48046321,51.065994,.48986599,20.217724,.15007256,13.972181,.3142367,28.794035,.097889908,9.4736843,1.7533481,31.55658,.10495677,21.990154,.2746875,10.112345,.40906611,15.985998,.35895735,30.452549,.66280866,30.601028,.10768081
04000US13,Georgia,2009-2013,27.958256,.093829364,20.252436,1.3534501,50.742649,.49954423,51.271294,.5083518,20.479179,.15850538,13.715607,.29295871,29.040545,.10332506,12.939615,2.1162891,31.767427,.1110324,22.263226,.28714803,9.6945877,.4150303,16.769255,.37735805,32.227089,.69580215,30.712545,.11221477
04000US13,Georgia,2010-2014,28.311625,.097027808,20.273376,1.3763609,51.208084,.45554531,51.605206,.46144286,20.848053,.14242846,14.154528,.29582837,29.407391,.10695304,16.231997,2.8710387,32.126175,.12578991,22.71615,.30236697,10.2243,.485982,17.606602,.4138186,32.562946,.65656161,31.012968,.12255212
04000US13,Georgia,2011-2015,28.821922,.098184079,22.095102,1.4842811,51.645821,.44278708,52.066757,.44784448,21.543745,.16551453,14.668621,.27221271,29.931593,.10795391,14.428784,3.1293664,32.531868,.11819454,23.484955,.29383707,11.012357,.4393118,18.929771,.39014599,33.23555,.70422542,31.37537,.11682166
04000US13,Georgia,2012-2016,29.411961,.089041196,20.234777,1.3195045,53.161453,.42003635,53.579437,.42578125,22.093479,.16029149,15.343696,.25920784,30.513361,.098079853,18.583776,2.85584,33.116486,.10132282,24.180668,.25821638,11.31731,.41995868,19.57247,.35047525,33.854595,.54073703,31.955582,.099777363
04000US13,Georgia,2013-2017,29.93103,.1001955,21.531391,1.4142902,53.148495,.44214344,53.593887,.44844118,22.636717,.16613366,16.004442,.28030536,31.039515,.11039204,18.609467,3.130059,33.658886,.11890367,24.801691,.28901792,11.889183,.45431995,20.534731,.37476447,34.600834,.6074537,32.483791,.11672392
04000US15,Hawaii,2005-2009,29.187187,.21989582,21.253944,3.2056689,26.659,.25305715,29.308542,.28590727,26.606686,1.7861135,16.625658,.71730298,30.017206,.23912971,11.779708,.47391978,41.693024,.42267925,24.630747,.33752704,16.633125,1.3413507,18.437143,.42245752,18.5716,.44284034,40.3424,.39827269
04000US15,Hawaii,2006-2010,29.441475,.22760825,21.341463,3.0719121,27.175814,.27587503,30.004055,.31394011,26.03924,1.5591747,17.451504,.71424299,30.252665,.2477628,11.784998,.46971041,41.955284,.4435969,25.062731,.34427488,17.149151,1.5517454,18.697033,.44025025,18.79812,.45820665,40.71907,.41882414
04000US15,Hawaii,2007-2011,29.506386,.22745512,24.57897,3.8398557,27.335857,.28307751,30.250952,.32162756,25.848793,1.8165437,17.84152,.67566359,30.316395,.24773197,11.59334,.50722528,41.734756,.47097057,25.244898,.3479189,18.967396,1.6260365,19.155588,.41277277,19.168018,.42671865,40.548023,.44825622
04000US15,Hawaii,2008-2012,29.606888,.219026,24.497095,3.1059706,27.380922,.26216137,30.441813,.300935,28.126801,1.7242298,18.671446,.75116313,30.377567,.24036255,11.375126,.42788941,41.589222,.4250806,25.441582,.33012059,19.836544,1.9671254,19.615307,.37715259,19.601238,.38111067,40.4081,.39899218
04000US15,Hawaii,2009-2013,30.109453,.20633763,18.212765,3.026891,28.171774,.23277588,31.170967,.2655412,26.238472,1.5727136,19.439232,.66995877,30.882919,.22655946,12.621813,.45195046,41.904995,.44447449,26.003036,.3183521,21.373432,1.9303905,20.021564,.35308358,19.937641,.35474849,40.681969,.42540994
